yourlist:M20190514216DA2B77BFBD2E6699CA9B6D1C41EB217BE5C9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1q8q	Q8GSD2	Q8GSD2_PTEAG	unreviewed	Lectin (Fragment)		Pterocarpus angolensis (Kiaat tree) (Bleedwood tree)	260
1qax	P13702	MVAA_PSEMV	reviewed	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.88)	mvaA	Pseudomonas mevalonii	428
1qe0	P60911	SYH_STAAU	reviewed	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS	Staphylococcus aureus	420
1qi9	P81701	PRXV_ASCNO	reviewed	Vanadium-dependent bromoperoxidase (V-BPO) (EC 1.11.1.18) (Vanadium haloperoxidase)		Ascophyllum nodosum (Knotted wrack) (Brown seaweed)	557
1qin	Q04760	LGUL_HUMAN	reviewed	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	GLO1	Homo sapiens (Human)	184
1qkt	P03372	ESR1_HUMAN	reviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
1qls	P04083	ANXA1_HUMAN	reviewed	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	ANXA1 ANX1 LPC1	Homo sapiens (Human)	346
1qls	P31950	S10AB_PIG	reviewed	Protein S100-A11 (Calgizzarin) (Protein S100-C) (S100 calcium-binding protein A11)	S100A11 S100C	Sus scrofa (Pig)	99
1qma	P61972	NTF2_RAT	reviewed	Nuclear transport factor 2 (NTF-2)	Nutf2 Ntf2	Rattus norvegicus (Rat)	127
1qmr	P15494	BEV1A_BETPN	reviewed	Major pollen allergen Bet v 1-A (Allergen Bet v I-A) (allergen Bet v 1-A)	BETVIA BETVI	Betula pendula (European white birch) (Betula verrucosa)	160
1qo8	Q9Z4P0	FRD2_SHEFN	reviewed	Fumarate reductase flavoprotein subunit (EC 1.3.5.4) (Fe(3+)-induced flavocytochrome C3) (Ifc3) (Iron(III)-induced flavocytochrome C3)	ifcA Sfri_2586	Shewanella frigidimarina (strain NCIMB 400)	588
1qor	P28304	QOR1_ECOLI	reviewed	Quinone oxidoreductase 1 (EC 1.6.5.5) (NADPH:quinone reductase 1) (Zeta-crystallin homolog protein)	qorA hcz qor qor1 b4051 JW4011	Escherichia coli (strain K12)	327
1qp8	Q8ZXP5	Q8ZXP5_PYRAE	unreviewed	2-hydroxyacid dehydrogenase	PAE1175	Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)	301
1qpp	P15319	PAPD_ECOLX	reviewed	Chaperone protein PapD	papD	Escherichia coli	239
1qrd	P05982	NQO1_RAT	reviewed	NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1)	Nqo1 Nmor1	Rattus norvegicus (Rat)	274
1qup	P40202	CCS1_YEAST	reviewed	Superoxide dismutase 1 copper chaperone	CCS1 LYS7 YMR038C YM9532.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	249
1qvz	Q04432	HSP31_YEAST	reviewed	Glutathione-independent glyoxalase HSP31 (EC 4.2.1.130) (Glyoxalase 3 homolog 1) (Heat shock protein 31)	HSP31 YDR533C D9719.36	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237
1qxh	P0A862	TPX_ECOLI	reviewed	Thiol peroxidase (Tpx) (EC 1.11.1.15) (Peroxiredoxin tpx) (Prx) (Scavengase p20) (Thioredoxin peroxidase)	tpx yzzJ b1324 JW1317	Escherichia coli (strain K12)	168
1qya	P37757	YDDE_ECOLI	reviewed	Uncharacterized isomerase YddE (EC 5.1.-.-) (ORFB)	yddE b1464 JW1459	Escherichia coli (strain K12)	297
1qyc	Q9LL41	PCBER_PINTA	reviewed	Phenylcoumaran benzylic ether reductase PT1 (PCBER-Pt1) (EC 1.23.1.-) (PtPCBER)	PCBER	Pinus taeda (Loblolly pine)	308
1qz9	P83788	KYNU_PSEFL	reviewed	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	kynU	Pseudomonas fluorescens	416
1qzr	P06786	TOP2_YEAST	reviewed	DNA topoisomerase 2 (EC 5.6.2.3) (DNA topoisomerase II)	TOP2 TOR3 YNL088W N2244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1428
1r1d	Q06174	EST_GEOSE	reviewed	Carboxylesterase (EC 3.1.1.1)	est est30	Geobacillus stearothermophilus (Bacillus stearothermophilus)	246
1r46	P06280	AGAL_HUMAN	reviewed	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase) (Agalsidase)	GLA	Homo sapiens (Human)	429
1r5a	Q9GQG7	Q9GQG7_9DIPT	unreviewed	Glutathione transferase		Anopheles cracens	218
1r7a	A0ZZH6	SUCP_BIFAA	reviewed	Sucrose phosphorylase (SP) (SPase) (EC 2.4.1.7)	sucP spl BAD_0078	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)	504
1r7h	O69271	O69271_CORAM	unreviewed	NrdH-redoxin	nrdH	Corynebacterium ammoniagenes (Brevibacterium ammoniagenes)	75
1r8b	O28126	CCA_ARCFU	reviewed	CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl- transferase) (tRNA nucleotidyltransferase) (tRNA-NT)	cca AF_2156	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	437
1r8w	Q8GEZ8	Q8GEZ8_CLOBU	unreviewed	B12-independent glycerol dehydratase (Glycerol dehydratase) (Glycyl radical protein)	dhaB1 EI970_17785	Clostridium butyricum	787
1rft	P82197	PDXK_SHEEP	reviewed	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	PDXK PKH	Ovis aries (Sheep)	312
1riy	P36206	DBH_THEMA	reviewed	DNA-binding protein HU	hup TM_0266	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	90
1rk4	O00299	CLIC1_HUMAN	reviewed	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	Homo sapiens (Human)	241
1rkd	P0A9J6	RBSK_ECOLI	reviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK b3752 JW3731	Escherichia coli (strain K12)	309
1rmr	P83658	DIDS_ECHCA	reviewed	Disintegrin schistatin		Echis carinatus (Saw-scaled viper)	64
1rpo	P03051	ROP_ECOLX	reviewed	Regulatory protein rop (RNA one modulator) (ROM)	rop	Escherichia coli	63
1rpy	Q9Z200	SH2B2_RAT	reviewed	SH2B adapter protein 2 (Adapter protein with pleckstrin homology and Src homology 2 domains) (SH2 and PH domain-containing adapter protein APS)	Sh2b2 Aps	Rattus norvegicus (Rat)	621
1mkh,1rqg	Q9V011	SYM_PYRAB	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG metS PYRAB09870 PAB2364	Pyrococcus abyssi (strain GE5 / Orsay)	722
1rqi	P22939	ISPA_ECOLI	reviewed	Farnesyl diphosphate synthase (FPP synthase) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Geranyltranstransferase)	ispA b0421 JW0411	Escherichia coli (strain K12)	299
1rrm	P0A9S1	FUCO_ECOLI	reviewed	Lactaldehyde reductase (EC 1.1.1.77) (Propanediol oxidoreductase)	fucO b2799 JW2770	Escherichia coli (strain K12)	382
1rtr	A0A0H3JWH0	A0A0H3JWH0_STAAW	unreviewed	IspA protein	ispA	Staphylococcus aureus (strain MW2)	293
1s5k	Q9R381	AAC6_SALEN	reviewed	Aminoglycoside N(6')-acetyltransferase type 1 (EC 2.3.1.82) (AAC(6')-Iy) (Aminoglycoside resistance protein)		Salmonella enteritidis	145
1s6c	Q63881	KCND2_RAT	reviewed	Potassium voltage-gated channel subfamily D member 2 (RK5) (Shal1) (Voltage-gated potassium channel subunit Kv4.2)	Kcnd2	Rattus norvegicus (Rat)	630
1s6c	Q8R426	KCIP1_RAT	reviewed	Kv channel-interacting protein 1 (KChIP1) (A-type potassium channel modulatory protein 1) (Potassium channel-interacting protein 1)	Kcnip1 Kchip1	Rattus norvegicus (Rat)	227
1s96	P60546	KGUA_ECOLI	reviewed	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk spoR b3648 JW3623	Escherichia coli (strain K12)	207
1sb8	Q8KN66	Q8KN66_PSEAI	unreviewed	WbpP		Pseudomonas aeruginosa	341
1se8	Q9RY51	SSB_DEIRA	reviewed	Single-stranded DNA-binding protein (SSB)	ssb DR_0099	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	301
1sei	P56209	RS8_GEOSE	reviewed	30S ribosomal protein S8 (BS8)	rpsH	Geobacillus stearothermophilus (Bacillus stearothermophilus)	131
1sep	Q64105	SPRE_MOUSE	reviewed	Sepiapterin reductase (SPR) (EC 1.1.1.153)	Spr	Mus musculus (Mouse)	261
1sez	O24164	PPOM_TOBAC	reviewed	Protoporphyrinogen oxidase, mitochondrial (EC 1.3.3.4) (PX-2) (Protoporphyrinogen IX oxidase isozyme II) (PPO II) (PPX II)	PPXII PPOX2	Nicotiana tabacum (Common tobacco)	504
1sfn	Q9RV77	Q9RV77_DEIRA	unreviewed	Uncharacterized protein	DR_1152	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	246
1sg0	P16083	NQO2_HUMAN	reviewed	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)	NQO2 NMOR2	Homo sapiens (Human)	231
1sj1	P29603	FER_PYRFU	reviewed	Ferredoxin	fdxA PF1909	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	67
1sla	P11116	LEG1_BOVIN	reviewed	Galectin-1 (Gal-1) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (S-Lac lectin 1)	LGALS1	Bos taurus (Bovine)	135
1so6	P39304	ULAD_ECOLI	reviewed	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase) (KGPDC) (L-ascorbate utilization protein D)	ulaD sgaH yjfV b4196 JW4154	Escherichia coli (strain K12)	216
1sqd	P93836	HPPD_ARATH	reviewed	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)	HPD PDS1 At1g06570 F12K11.9	Arabidopsis thaliana (Mouse-ear cress)	445
1sqe	Q99X56	HDOX2_STAAM	reviewed	Heme oxygenase (staphylobilin-producing) 2 (EC 1.14.99.48) (Heme-degrading monooxygenase 2) (Iron-regulated surface determinant 2) (Iron-responsive surface determinant 2)	isdI SAV0165	Staphylococcus aureus (strain Mu50 / ATCC 700699)	108
1sqi	P32755	HPPD_RAT	reviewed	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (F Alloantigen) (F protein)	Hpd	Rattus norvegicus (Rat)	393
1su2	Q9RVK2	Q9RVK2_DEIRA	unreviewed	MutT/nudix family protein	DR_1025	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	159
1t0i	Q07923	LOT6_YEAST	reviewed	NAD(P)H-dependent FMN reductase LOT6 (FMN reductase LOT6) (EC 1.5.1.39) (Azoreductase LOT6) (FMN reductase [NAD(P)H]) (Low temperature response protein 6)	LOT6 YLR011W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	191
1t3c	Q00496	BXE_CLOBO	reviewed	Botulinum neurotoxin type E (BoNT/E) (Bontoxilysin-E) [Cleaved into: Botulinum neurotoxin E light chain (LC) (EC 3.4.24.69); Botulinum neurotoxin E heavy chain (HC)]	botE	Clostridium botulinum	1251
1t3i	Q55793	CSD_SYNY3	reviewed	Probable cysteine desulfurase (EC 2.8.1.7)	csd sufS slr0077	Synechocystis sp. (strain PCC 6803 / Kazusa)	420
1t47	Q53586	HPPD_STRAW	reviewed	4-hydroxyphenylpyruvate dioxygenase (4HPPD) (HPD) (HPPDase) (EC 1.13.11.27)	hpd SAV_5149	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	381
1t5d	Q8GN86	Q8GN86_9BURK	unreviewed	4-chlorobenzoyl CoA ligase		Alcaligenes sp. AL3007	504
1tbp	P13393	TBP_YEAST	reviewed	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription factor D) (Transcription initiation factor TFIID TBP subunit)	SPT15 BTF1 TBP1 YER148W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	240
1td2	P77150	PDXY_ECOLI	reviewed	Pyridoxal kinase PdxY (PL kinase) (EC 2.7.1.35) (Pyridoxal kinase 2) (PL kinase 2)	pdxY ydgS b1636 JW1628	Escherichia coli (strain K12)	287
1tdf	P0A9P4	TRXB_ECOLI	reviewed	Thioredoxin reductase (TRXR) (EC 1.8.1.9)	trxB b0888 JW0871	Escherichia coli (strain K12)	321
1tfc	P62508	ERR3_HUMAN	reviewed	Estrogen-related receptor gamma (ERR gamma-2) (Estrogen receptor-related protein 3) (Nuclear receptor subfamily 3 group B member 3)	ESRRG ERR3 ERRG2 KIAA0832 NR3B3	Homo sapiens (Human)	458
1tfc	Q15788	NCOA1_HUMAN	reviewed	Nuclear receptor coactivator 1 (NCoA-1) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 74) (bHLHe74) (Protein Hin-2) (RIP160) (Renal carcinoma antigen NY-REN-52) (Steroid receptor coactivator 1) (SRC-1)	NCOA1 BHLHE74 SRC1	Homo sapiens (Human)	1441
1tik	P41407	AZOR_ECOLI	reviewed	FMN-dependent NADH-azoreductase (EC 1.7.1.17) (Azo-dye reductase) (FMN-dependent NADH-azo compound oxidoreductase)	azoR acpD b1412 JW1409	Escherichia coli (strain K12)	201
1tis	P00471	TYSY_BPT4	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	TD	Enterobacteria phage T4 (Bacteriophage T4)	286
1tkl	P11353	HEM6_YEAST	reviewed	Oxygen-dependent coproporphyrinogen-III oxidase (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	HEM13 YDR044W YD5112.02	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	328
1tlg	P16108	LECC_POLMI	reviewed	Lectin		Polyandrocarpa misakiensis (Tunicate)	125
1tlk	P56276	MYLK_MELGA	reviewed	Telokin		Meleagris gallopavo (Wild turkey)	154
1tre	P0A858	TPIS_ECOLI	reviewed	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tpi b3919 JW3890	Escherichia coli (strain K12)	255
1tvd	A0JD37	TRDV3_HUMAN	reviewed	T cell receptor delta variable 3	TRDV3 hDV103S1	Homo sapiens (Human)	113
1tvz	Q9FD87	Q9FD87_STAAU	unreviewed	HMG-CoA synthase	mvaS	Staphylococcus aureus	388
1tw3	Q06528	DNRK_STRPE	reviewed	Carminomycin 4-O-methyltransferase DnrK (COMT) (EC 2.1.1.292) (Anthracycline 4-O-methyltransferase)	dnrK	Streptomyces peucetius	356
1tyt	P39040	TYTR_CRIFA	reviewed	Trypanothione reductase (TR) (EC 1.8.1.12) (N(1),N(8)-bis(glutathionyl)spermidine reductase)	TPR	Crithidia fasciculata	491
1u08	P77806	YBDL_ECOLI	reviewed	Methionine aminotransferase (EC 2.6.1.88) (Methionine-oxo-acid transaminase)	ybdL b0600 JW0593	Escherichia coli (strain K12)	386
1u0k	Q9HV82	Q9HV82_PSEAE	unreviewed	Uncharacterized protein	PA4716	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	284
1u0m	Q9FCA7	RPPA_STRCO	reviewed	1,3,6,8-tetrahydroxynaphthalene synthase (THNS) (EC 2.3.1.233) (1,3,6,8-tetrahydroxynaphthalene synthesis polyketide synthase type III)	SCO1206	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	374
1u7u	P0ABQ0	COABC_ECOLI	reviewed	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) [Includes: Phosphopantothenoylcysteine decarboxylase (PPCDC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (PPC synthetase) (PPCS) (Phosphopantothenoylcysteine synthase)]	coaBC dfp b3639 JW5642	Escherichia coli (strain K12)	406
1uam	P43912	TRMD_HAEIN	reviewed	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD HI_0202	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	246
1uby	P08836	FPPS_CHICK	reviewed	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	FDPS	Gallus gallus (Chicken)	367
1ucf	Q99497	PARK7_HUMAN	reviewed	Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1)	PARK7	Homo sapiens (Human)	189
1udv	Q97ZF4	ALBA2_SACS2	reviewed	DNA/RNA-binding protein Alba 2	albA2 SSO6877	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	89
1uis	Q8ISF8	RFP_ENTQU	reviewed	Red fluorescent protein eqFP611 (GFP-like chromoprotein)		Entacmaea quadricolor (Bubble-tip anemone) (Parasicyonis actinostoloides)	231
1ujn	P83703	P83703_THETH	unreviewed	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB TTHN1_00272	Thermus thermophilus	348
1ult	Q5SKN9	LCFCS_THET8	reviewed	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain fatty acyl-CoA synthetase) (LC-FACS)	TTHA0604	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	541
1umo	Q8WWM9	CYGB_HUMAN	reviewed	Cytoglobin (Histoglobin) (HGb) (Stellate cell activation-associated protein)	CYGB STAP	Homo sapiens (Human)	190
1uou	P19971	TYPH_HUMAN	reviewed	Thymidine phosphorylase (TP) (EC 2.4.2.4) (Gliostatin) (Platelet-derived endothelial cell growth factor) (PD-ECGF) (TdRPase)	TYMP ECGF1	Homo sapiens (Human)	482
1upi	P9WH11	RMLC_MYCTU	reviewed	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase) (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase) (dTDP-L-rhamnose synthase)	rmlC strM Rv3465	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	202
1uq5	P02879	RICI_RICCO	reviewed	Ricin [Cleaved into: Ricin A chain (EC 3.2.2.22) (rRNA N-glycosidase); Linker peptide; Ricin B chain]		Ricinus communis (Castor bean)	576
1uu2	Q9X0D0	HIS8_THEMA	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC TM_1040	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	335
1uuf	P75691	YAHK_ECOLI	reviewed	Aldehyde reductase YahK (EC 1.1.1.2) (Zinc-dependent alcohol dehydrogenase YahK)	yahK b0325 JW0317	Escherichia coli (strain K12)	349
1uuj	P63005	LIS1_MOUSE	reviewed	Platelet-activating factor acetylhydrolase IB subunit alpha (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	Pafah1b1 Lis-1 Lis1 Pafaha	Mus musculus (Mouse)	410
1uwh	P15056	BRAF_HUMAN	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1	Homo sapiens (Human)	766
1v08	P49235	HGGL1_MAIZE	reviewed	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1, chloroplastic (EC 3.2.1.182) (Beta-D-glucoside glucohydrolase) (Beta-glucosidase 1) (ZmGlu1) (EC 3.2.1.21)	GLU1	Zea mays (Maize)	566
1v1o	Q9ZFS5	Q9ZFS5_STAAU	unreviewed	Exotoxin 1	set1 ERS072840_02173 NCTC7878_00468	Staphylococcus aureus	231
1v2f	Q75WK2	Q75WK2_THETH	unreviewed	Aminotransferase		Thermus thermophilus	381
1v2z	Q79V62	KAIA_THEEB	reviewed	Circadian clock protein KaiA	kaiA tlr0481	Thermosynechococcus elongatus (strain BP-1)	283
1v3v	Q9EQZ5	PTGR1_CAVPO	reviewed	Prostaglandin reductase 1 (PRG-1) (EC 1.3.1.-) (15-oxoprostaglandin 13-reductase) (PGR) (EC 1.3.1.48) (NADP-dependent leukotriene B4 12-hydroxydehydrogenase) (12-HD) (LTB4) (EC 1.3.1.74)	Ptgr1 Ltb4dh	Cavia porcellus (Guinea pig)	329
1v47	Q5SKH7	Q5SKH7_THET8	unreviewed	ATP sulfurylase (Sulfate adenylyltransferase)	TTHA0666	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	349
1v59	P09624	DLDH_YEAST	reviewed	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine decarboxylase complex subunit L) (Lipoamide dehydrogenase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex E3 component)	LPD1 DHLP1 YFL018C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	499
1v5x	P83825	P83825_THETH	unreviewed	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	trpF	Thermus thermophilus	203
1v9c	P83848	P83848_THETH	unreviewed	Probable precorrin-8X methylmutase (Precorrin isomerase) (EC 5.4.1.2)		Thermus thermophilus	218
1vc1	Q9X1F5	Y1442_THEMA	reviewed	Putative anti-sigma factor antagonist TM_1442	TM_1442	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	110
1vdc	Q39243	TRXB1_ARATH	reviewed	Thioredoxin reductase 1, mitochondrial (EC 1.8.1.9) (NADPH-dependent thioredoxin reductase 1) (NTR1) (NADPH-dependent thioredoxin reductase B) (AtNTRB)	NTR1 NTRB At4g35460 F15J1.30	Arabidopsis thaliana (Mouse-ear cress)	375
1vdw	O59523	O59523_PYRHO	unreviewed	Uncharacterized protein	PH1897	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	254
1vgz	Q5F829	ISPD_NEIG1	reviewed	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD NGO0972	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	229
1vhd	Q9X022	Q9X022_THEMA	unreviewed	Alcohol dehydrogenase, iron-containing	TM_0920	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	359
1vhm	P76270	MSRC_ECOLI	reviewed	Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14)	msrC yebR b1832 JW1821	Escherichia coli (strain K12)	165
1vhz	P45799	NUDE_ECOLI	reviewed	ADP compounds hydrolase NudE (EC 3.6.1.-)	nudE yrfE b3397 JW3360	Escherichia coli (strain K12)	186
1vj2	Q9X1H0	Q9X1H0_THEMA	unreviewed	Uncharacterized protein	TM_1459	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	114
1vjo	Q8YY48	Q8YY48_NOSS1	unreviewed	Alanine--glyoxylate aminotransferase	alr1004	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	381
1vlj	Q9WZS7	Q9WZS7_THEMA	unreviewed	NADH-dependent butanol dehydrogenase, putative	TM_0820	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	395
1vm7	Q9X055	Q9X055_THEMA	unreviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK TM_0960	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	299
1vpi	P04084	PA2A_VIPAE	reviewed	Acidic phospholipase A2 homolog vipoxin A chain (svPLA2 homolog) (Acidic phospholipase A2 inhibitor vipoxin A chain) (Vipoxin acidic component) (VAC) (Vipoxin non-toxic component)		Vipera ammodytes meridionalis (Eastern sand viper)	122
1w7n	Q16773	KAT1_HUMAN	reviewed	Kynurenine--oxoglutarate transaminase 1 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase 1) (Kynurenine aminotransferase I) (KATI) (Kynurenine--oxoglutarate transaminase I)	KYAT1 CCBL1	Homo sapiens (Human)	422
1wcy	P27487	DPP4_HUMAN	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 ADCP2 CD26	Homo sapiens (Human)	766
1wmy	Q7M462	Q7M462_CUCEC	unreviewed	Lectin CEL-I, N-acetyl-D-galactosamine-specific C-type		Cucumaria echinata (Sea cucumber)	140
