PDB ID	Symmetry group (M - monomer; Dna - dihedral with heterologous interfaces; Dns - dihedral with only isologous interfaces; Ts - tetrahedral with isologous interfaces; Ta - tetrahedral with only heterologous interfaces; O* - 4 different octahedral topologies)	Number of subunits	Number of unique subunits (ie row of the periodic table)	Included in non-redundant set	Year of release	Quaternary structure assignment (C - correct; E - error)	Quaternary structure topology index (complexes with the same index have the same reduced topology)	List of interfaces	List of interface types (all identical subunits are given the same code)	List of interface sizes (Angstroms^2)	List of interface types (I- isologous homomeric; H - heterologous homomeric; T - heteromeric)	Interfaces included in the reduced topology (1 - yes; 0 - no)	
3m3p	M	1	1	1	2010	-	-						
3m3q	C2	2	1	0	2010	-	1	A-B	A-A	1880.7	I	1	
3m3r	C7	7	1	0	2010	-	40	"A-B,A-C,A-F,A-G,B-C,B-D,B-G,C-D,C-E,D-E,D-F,E-F,E-G,F-G"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"5764.0,386.3,386.3,5764.0,5764.0,386.3,386.3,5764.0,386.3,5764.0,386.3,5764.0,386.3,5764.0"	"H,H,H,H,H,H,H,H,H,H,H,H,H,H"	"1,0,0,1,1,0,0,1,0,1,0,1,0,1"	
3m3s	C2	2	1	0	2011	-	1	A-B	A-A	2756.5	I	1	
3m3t	M	1	1	1	2011	-	-						
3m3u	M	1	1	0	2010	-	-						
3m3v	C2	2	1	0	2011	-	1	A-B	A-A	2858.2	I	1	
3m3w	C2	2	1	0	2011	-	1	A-B	A-A	8835.8	I	1	
3m3x	M	1	1	0	2010	-	-						
3m3z	M	2	2	0	2011	-	2	A-B	A-B	1973.8	T	1	
3m40	M	1	1	0	2010	-	-						
3m41	C2	2	1	0	2010	-	1	A-B	A-A	3229.9	I	1	
3m42	M	1	1	0	2011	-	-						
3m43	C2	2	1	0	2010	-	1	A-B	A-A	3220.3	I	1	
3m44	C2	2	1	0	2010	-	1	A-B	A-A	3296.1	I	1	
3m45	C2	2	1	0	2010	-	1	A-B	A-A	1377.1	I	1	
3m46	C2	2	1	0	2010	-	1	A-B	A-A	4814	I	1	
3m47	C2	2	1	0	2010	-	1	A-B	A-A	3227.3	I	1	
3m48	C2	2	1	0	2011	-	1	A-B	A-A	918.4	I	1	
3m49	C2	2	1	0	2010	-	1	A-B	A-A	8423	I	1	
3m4b	C2	2	1	0	2011	-	1	A-B	A-A	705	I	1	
3m4c	C2	2	1	0	2011	-	1	A-B	A-A	602.4	I	1	
3m4d	C7	7	1	0	2010	-	40	"A-B,A-C,A-F,A-G,B-C,B-D,B-G,C-D,C-E,D-E,D-F,E-F,E-G,F-G"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"5681.7,390.2,390.2,5681.7,5681.7,390.2,390.2,5681.7,390.2,5681.7,390.2,5681.7,390.2,5681.7"	"H,H,H,H,H,H,H,H,H,H,H,H,H,H"	"1,0,0,1,1,0,0,1,0,1,0,1,0,1"	
3m4e	C7	7	1	0	2010	-	40	"A-B,A-C,A-F,A-G,B-C,B-D,B-G,C-D,C-E,D-E,D-F,E-F,E-G,F-G"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"5708.2,396.2,396.2,5708.2,5708.2,396.2,396.2,5708.2,396.2,5708.2,396.2,5708.2,396.2,5708.2"	"H,H,H,H,H,H,H,H,H,H,H,H,H,H"	"1,0,0,1,1,0,0,1,0,1,0,1,0,1"	
3m4f	M	1	1	0	2010	-	-						
3m4g	C6	6	1	0	2010	-	32	"A-B,A-F,B-C,C-D,D-E,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F"	"1566.7,1566.7,1566.7,1566.7,1566.7,1566.7"	"H,H,H,H,H,H"	"1,1,1,1,1,1"	
3m4h	M	1	1	0	2010	-	-						
3m4i	C2	2	1	0	2010	-	1	A-B	A-A	2337.7	I	1	
3m4j	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3012.4,3012.4,3012.4"	"H,H,H"	"1,1,1"	
3m4n	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3036.0,3036.0,3036.0"	"H,H,H"	"1,1,1"	
3m4p	C2	2	1	1	2010	-	1	A-B	A-A	8249.3	I	1	
3m4q	C2	2	1	0	2010	-	1	A-B	A-A	7936	I	1	
3m4r	M	1	1	1	2010	-	-						
3m4s	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1809.6,1809.6,1809.6"	"H,H,H"	"1,1,1"	
3m4t	C2	2	1	1	2011	-	1	A-B	A-A	3647.8	I	1	
3m4u	M	1	1	1	2010	-	-						
3m4v	M	1	1	0	2011	-	-						
3m4w	C2	4	2	1	2010	-	11	"A-B,A-C,A-D,B-C,B-D"	"A-A,A-D,A-D,A-D,A-D"	"1772.3,4014.3,563.6,563.6,4014.3"	"I,T,T,T,T"	"1,1,0,0,1"	
3m4x	M	1	1	1	2010	-	-						
3m4y	M	1	1	0	2011	-	-						
3m4z	M	1	1	0	2010	-	-						
3m50	C2	4	2	0	2010	-	11	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1964.0,1969.9,338.9,338.9,1964.0"	"T,I,T,T,T"	"1,1,0,0,1"	
3m51	C2	4	2	0	2010	-	11	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"2028.5,1969.7,340.8,340.8,2028.5"	"T,I,T,T,T"	"1,1,0,0,1"	
3m52	C2	2	1	1	2010	-	1	A-B	A-A	3172.5	I	1	
3m53	M	1	1	0	2010	-	-						
3m54	M	1	1	0	2010	-	-						
3m55	M	1	1	0	2010	-	-						
3m56	M	1	1	0	2010	-	-						
3m57	M	1	1	0	2010	-	-						
3m58	M	1	1	0	2010	-	-						
3m59	M	1	1	0	2010	-	-						
3m5a	M	1	1	0	2010	-	-						
3m5b	C2	2	1	1	2010	-	1	A-B	A-A	1685.8	I	1	
3m5c	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3031.8,3031.8,3031.8"	"H,H,H"	"1,1,1"	
3m5d	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3058.4,3058.4,3058.4"	"H,H,H"	"1,1,1"	
3m5e	M	1	1	0	2010	-	-						
3m5g	M	2	2	0	2010	-	2	A-B	A-B	6492.5	T	1	
3m5h	M	2	2	1	2010	-	2	A-B	A-B	6466.7	T	1	
3m5i	M	2	2	0	2010	-	2	A-B	A-B	6402.6	T	1	
3m5j	M	2	2	0	2010	-	2	A-B	A-B	6465.9	T	1	
3m5k	C2	2	1	0	2010	-	1	A-B	A-A	6053.3	I	1	
3m5l	M	1	1	0	2010	-	-						
3m5m	M	1	1	0	2010	-	-						
3m5n	M	1	1	0	2010	-	-						
3m5p	C2	2	1	0	2010	-	1	A-B	A-A	11568.7	I	1	
3m5q	M	1	1	0	2010	-	-						
3m5r	C2	2	1	0	2010	-	1	A-B	A-A	1050.7	I	1	
3m5s	M	1	1	0	2011	-	-						
3m5t	M	1	1	0	2011	-	-						
3m5u	C2	2	1	1	2010	-	1	A-B	A-A	4401.3	I	1	
3m5v	D2	4	1	1	2010	-	4	"A-C,A-D,B-C,B-D"	"A-A,A-A,A-A,A-A"	"2965.1,1932.8,1932.8,2965.1"	"I,I,I,I"	"1,1,1,1"	
3m5w	C2	2	1	0	2010	-	1	A-B	A-A	3367.4	I	1	
3m5x	C2	2	1	0	2010	-	1	A-B	A-A	3312.8	I	1	
3m5y	C2	2	1	0	2010	-	1	A-B	A-A	3290.7	I	1	
3m5z	C2	2	1	0	2010	-	1	A-B	A-A	3273.7	I	1	
3m61	M	1	1	0	2010	-	-						
3m62	M	1	1	1	2010	-	-						
3m63	M	1	1	0	2010	-	-						
3m64	M	1	1	0	2011	-	-						
3m65	M	1	1	1	2010	-	-						
3m66	M	1	1	1	2010	-	-						
3m67	M	1	1	0	2010	-	-						
3m6b	M	1	1	0	2010	-	-						
3m6c	M	1	1	1	2010	-	-						
3m6d	C2	2	1	0	2010	-	1	A-B	A-A	5103	I	1	
3m6e	C3	3	1	1	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3385.8,3385.8,3385.8"	"H,H,H"	"1,1,1"	
3m6f	M	1	1	0	2010	-	-						
3m6h	M	1	1	0	2010	-	-						
3m6i	D2	4	1	1	2010	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"867.9,1698.8,3286.1,3286.1,1698.8,867.9"	"I,I,I,I,I,I"	"0,1,1,1,1,0"	
3m6j	C2	2	1	1	2010	-	1	A-B	A-A	1412.2	I	1	
3m6k	M	1	1	0	2010	-	-						
3m6l	C2	2	1	0	2010	-	1	A-B	A-A	8213.9	I	1	
3m6m	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1872.4,1872.4,1872.4"	"H,H,H"	"1,1,1"	
3m6n	C3	3	1	1	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1961.1,1961.1,1961.1"	"H,H,H"	"1,1,1"	
3m6o	M	1	1	0	2011	-	-						
3m6p	M	1	1	0	2011	-	-						
3m6q	M	1	1	0	2011	-	-						
3m6r	M	1	1	0	2011	-	-						
3m6u	M	1	1	0	2010	-	-						
3m6v	M	1	1	0	2010	-	-						
3m6w	M	1	1	0	2010	-	-						
3m6x	M	1	1	1	2010	-	-						
3m6z	M	1	1	0	2010	-	-						
3m70	M	1	1	0	2010	-	-						
3m71	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2993.8,2993.8,2993.8"	"H,H,H"	"1,1,1"	
3m72	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2984.4,2984.4,2984.4"	"H,H,H"	"1,1,1"	
3m73	C3	3	1	1	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2944.0,2944.0,2944.0"	"H,H,H"	"1,1,1"	
3m74	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2996.8,2996.8,2996.8"	"H,H,H"	"1,1,1"	
3m75	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3001.7,3001.7,3001.7"	"H,H,H"	"1,1,1"	
3m76	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2998.7,2998.7,2998.7"	"H,H,H"	"1,1,1"	
3m77	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2936.1,2936.1,2936.1"	"H,H,H"	"1,1,1"	
3m78	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2949.9,2949.9,2949.9"	"H,H,H"	"1,1,1"	
3m79	D2	4	1	0	2010	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"951.2,542.1,1349.5,1349.5,542.1,951.2"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
3m7a	M	1	1	1	2010	-	-						
3m7b	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3010.6,3010.6,3010.6"	"H,H,H"	"1,1,1"	
3m7c	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2996.5,2996.5,2996.5"	"H,H,H"	"1,1,1"	
3m7d	M	1	1	0	2010	-	-						
3m7e	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3002.1,3002.1,3002.1"	"H,H,H"	"1,1,1"	
3m7f	M	2	2	1	2010	-	2	A-B	A-B	1950.9	T	1	
3m7g	M	1	1	0	2010	-	-						
3m7h	M	1	1	1	2011	-	-						
3m7i	C2	2	1	0	2010	-	1	A-B	A-A	8276.8	I	1	
3m7j	M	1	1	0	2011	-	-						
3m7l	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3008.3,3008.3,3008.3"	"H,H,H"	"1,1,1"	
3m7m	M	1	1	1	2011	-	-						
3m7p	C2	2	1	1	2010	-	1	A-B	A-A	4075.2	I	1	
3m7q	M	2	2	1	2011	-	2	A-B	A-B	1396.8	T	1	
3m7r	M	1	1	0	2010	-	-						
3m7s	M	1	1	0	2010	-	-						
3m7t	M	1	1	0	2011	-	-						
3m7u	M	1	1	0	2011	-	-						
3m7v	M	1	1	1	2010	-	-						
3m7w	C2	2	1	0	2010	-	1	A-B	A-A	2173.6	I	1	
3m81	D3s	6	1	0	2010	-	8	"A-B,A-C,A-D,A-E,B-C,B-D,B-F,C-E,C-F,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"2072.1,2168.0,933.4,933.4,933.4,2168.0,933.4,2072.1,933.4,933.4,2072.1,2168.0"	"I,I,H,H,H,I,H,I,H,H,I,I"	"1,1,0,0,0,1,0,1,0,0,1,1"	
3m82	D3s	6	1	0	2010	-	8	"A-B,A-C,A-D,A-E,B-C,B-D,B-F,C-E,C-F,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"2071.4,2179.5,926.4,926.4,926.4,2179.5,926.4,2071.4,926.4,926.4,2071.4,2179.5"	"I,I,H,H,H,I,H,I,H,H,I,I"	"1,1,0,0,0,1,0,1,0,0,1,1"	
3m83	D3s	6	1	1	2010	-	8	"A-B,A-C,A-D,A-E,B-C,B-D,B-F,C-E,C-F,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"2085.5,2202.0,1494.3,1494.3,1494.3,2202.0,1494.3,2085.5,1494.3,1494.3,2085.5,2202.0"	"I,I,H,H,H,I,H,I,H,H,I,I"	"1,1,0,0,0,1,0,1,0,0,1,1"	
3m86	M	1	1	1	2011	-	-						
3m88	M	1	1	0	2011	-	-						
3m89	M	1	1	0	2010	-	-						
3m8a	M	1	1	0	2010	-	-						
3m8b	M	1	1	0	2010	-	-						
3m8c	C2	2	1	0	2010	-	1	A-B	A-A	2123.5	I	1	
3m8d	M	1	1	0	2010	-	-						
3m8e	C2	2	1	1	2010	-	1	A-B	A-A	2927.4	I	1	
3m8f	C2	2	1	0	2010	-	1	A-B	A-A	2424.3	I	1	
3m8j	C2	2	1	1	2010	-	1	A-B	A-A	1898.1	I	1	
3m8k	M	1	1	0	2010	-	-						
3m8m	M	1	1	0	2010	-	-						
3m8n	C2	2	1	1	2010	-	1	A-B	A-A	2849.7	I	1	
3m8t	M	1	1	0	2011	-	-						
3m8u	M	1	1	1	2010	-	-						
3m8v	C2	2	1	0	2011	-	1	A-B	A-A	3506.5	I	1	
3m8w	M	1	1	0	2010	-	-						
3m8y	M	1	1	0	2010	-	-						
3m8z	M	1	1	0	2010	-	-						
3m91	C2	4	2	0	2010	-	11	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"1215.1,2092.1,1114.9,1114.9,1215.1"	"T,I,T,T,T"	"1,1,0,0,1"	
3m92	C2	2	1	1	2010	-	1	A-B	A-A	3941.8	I	1	
3m93	M	1	1	0	2011	-	-						
3m94	M	1	1	0	2011	-	-						
3m95	M	1	1	0	2010	-	-						
3m96	M	1	1	0	2011	-	-						
3m97	M	1	1	1	2010	-	-						
3m98	M	1	1	0	2011	-	-						
3m99	M	4	4	0	2010	-	20	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-B,A-C,A-D,B-C,B-D,C-D"	"4015.5,2357.2,6108.7,2700.0,582.6,1462.2"	"T,T,T,T,T,T"	"1,0,1,1,0,0"	
3m9a	C2	2	1	0	2010	-	1	A-B	A-A	2349.1	I	1	
3m9f	C2	2	1	0	2010	-	1	A-B	A-A	3691.1	I	1	
3m9g	M	1	1	0	2010	-	-						
3m9h	D2	4	1	0	2010	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"222.0,2277.7,1965.2,1965.2,2277.7,222.0"	"I,I,I,I,I,I"	"0,1,1,1,1,0"	
3m9j	M	1	1	0	2010	-	-						
3m9k	M	1	1	0	2010	-	-						
3m9l	C2	2	1	1	2010	-	1	A-B	A-A	3092.9	I	1	
3m9q	M	1	1	1	2010	-	-						
3m9v	D2	4	1	0	2010	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"2831.0,3116.0,288.4,288.4,3116.0,2831.0"	"I,I,I,I,I,I"	"1,1,0,0,1,1"	
3m9w	M	1	1	0	2010	-	-						
3m9x	M	1	1	0	2010	-	-						
3m9y	C2	2	1	0	2011	-	1	A-B	A-A	3315	I	1	
3m9z	C2	2	1	1	2011	-	1	A-B	A-A	3387.6	I	1	
3ma0	M	1	1	1	2010	-	-						
3ma2	M	2	2	0	2010	-	2	A-B	A-B	1610	T	1	
3ma3	M	1	1	0	2010	-	-						
3ma5	M	1	1	1	2010	-	-						
3ma6	M	1	1	0	2010	-	-						
3ma7	M	2	2	0	2011	-	2	A-B	A-B	2515	T	1	
3ma8	D2	4	1	1	2010	-	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"4381.5,1792.0,1792.0,4381.5"	"I,I,I,I"	"1,1,1,1"	
3maa	M	3	3	0	2010	-	5	"A-B,A-C,B-C"	"A-B,A-C,B-C"	"3704.3,546.7,1540.7"	"T,T,T"	"1,0,1"	
3mad	C2	2	1	0	2010	-	1	A-B	A-A	12595	I	1	
3mae	C3	3	1	1	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3322.3,3322.3,3322.3"	"H,H,H"	"1,1,1"	
3maf	C2	2	1	0	2010	-	1	A-B	A-A	10734.6	I	1	
3mag	C2	2	1	0	1999	E	1	A-B	A-A	1432.2	I	1	
3mah	C2	2	1	1	2010	-	1	A-B	A-A	3734.2	I	1	
3maj	C2	2	1	1	2010	-	1	A-B	A-A	1127.7	I	1	
3mak	C2	2	1	0	2011	-	1	A-B	A-A	2863.8	I	1	
3mal	M	1	1	1	2010	-	-						
3mam	M	1	1	0	2011	-	-						
3man	M	1	1	0	1999	-	-						
3mao	M	1	1	1	2010	-	-						
3map	C2	2	1	0	2010	-	1	A-B	A-A	4770.5	I	1	
3mar	C2	2	1	0	2010	-	1	A-B	A-A	4374.9	I	1	
3mas	C2	2	1	0	2010	-	1	A-B	A-A	4006.2	I	1	
3mat	M	1	1	0	1999	-	-						
3mau	C2	2	1	1	2010	-	1	A-B	A-A	12978.3	I	1	
3mav	C2	2	1	0	2010	-	1	A-B	A-A	6797.3	I	1	
3maw	C3	3	1	1	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"11316.7,11316.7,11316.7"	"H,H,H"	"1,1,1"	
3max	M	1	1	1	2010	-	-						
3maz	M	1	1	1	2010	-	-						
3mb2	C3	6	2	1	2010	-	30	"A-C,A-D,A-E,A-F,B-C,B-D,B-E,B-F,C-E,C-F,D-E,D-F"	"A-A,A-F,A-A,A-F,F-A,F-F,F-A,F-F,A-A,A-F,F-A,F-F"	"1045.2,2169.0,1045.2,549.2,549.2,1067.5,2169.0,1067.5,1045.2,2169.0,549.2,1067.5"	"H,T,H,T,T,H,T,H,H,T,T,H"	"0,1,0,0,0,1,1,1,0,1,0,1"	
3mb3	M	1	1	1	2010	-	-						
3mb4	M	1	1	0	2010	-	-						
3mb5	D2	4	1	1	2010	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"1602.8,253.1,4808.1,4808.1,253.1,1602.8"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
3mb6	M	1	1	0	2010	-	-						
3mb7	M	1	1	0	2010	-	-						
3mb8	D3s	6	1	1	2011	-	8	"A-B,A-C,A-E,A-F,B-C,B-D,B-F,C-D,C-E,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"3842.5,208.8,208.8,1817.6,1817.6,208.8,208.8,3842.5,208.8,1817.6,208.8,3842.5"	"I,H,H,I,I,H,H,I,H,I,H,I"	"1,0,0,1,1,0,0,1,0,1,0,1"	
3mb9	M	1	1	0	2011	-	-						
3mba	M	1	1	0	1990	C	-						
3mbb	C2	2	1	0	2010	-	1	A-B	A-A	12743.9	I	1	
3mbc	M	1	1	0	2011	-	-						
3mbd	C2	2	1	0	2010	-	1	A-B	A-A	2153.2	I	1	
3mbf	C2	2	1	0	2010	-	1	A-B	A-A	2149	I	1	
3mbg	C2	2	1	0	2010	-	1	A-B	A-A	2897.5	I	1	
3mbi	C2	2	1	1	2011	-	1	A-B	A-A	4278.4	I	1	
3mbj	D3a	6	1	0	2010	-	9	"A-B,A-C,A-F,B-C,B-E,C-D,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1283.3,1283.3,4388.1,1283.3,4388.1,4388.1,1283.3,1283.3,1283.3"	"H,H,I,H,I,I,H,H,H"	"1,1,1,1,1,1,1,1,1"	
3mbk	C2	2	1	0	2010	-	1	A-B	A-A	4511.5	I	1	
3mbl	C2	2	1	0	2010	-	1	A-B	A-A	1928.2	I	1	
3mbm	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2232.6,2232.6,2232.6"	"H,H,H"	"1,1,1"	
3mbo	C2	2	1	1	2010	-	1	A-B	A-A	3195.4	I	1	
3mbp	M	1	1	0	1997	C	-						
3mbq	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3312.9,3312.9,3312.9"	"H,H,H"	"1,1,1"	
3mbr	M	1	1	1	2010	-	-						
3mbt	M	1	1	1	2010	-	-						
3mbv	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1428.0,1428.0,1428.0"	"H,H,H"	"1,1,1"	
3mbw	C2	4	2	0	2010	-	11	"A-B,A-C,A-D,B-C,C-D"	"A-D,A-A,A-D,D-A,A-D"	"2237.9,1097.1,316.3,316.3,2237.9"	"T,I,T,T,T"	"1,1,0,0,1"	
3mbz	M	1	1	0	2011	-	-						
3mc1	M	1	1	1	2010	-	-						
3mc2	M	1	1	0	2010	-	-						
3mc4	C3	3	1	0	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2427.1,2427.1,2427.1"	"H,H,H"	"1,1,1"	
3mc5	M	1	1	0	2011	-	-						
3mc6	C2	2	1	1	2010	-	1	A-B	A-A	12196.8	I	1	
3mc8	M	1	1	1	2010	-	-						
3mc9	M	1	1	0	2010	-	-						
3mca	M	2	2	1	2010	-	2	A-B	A-B	2344.4	T	1	
3mcb	M	2	2	0	2010	-	2	A-B	A-B	2323	T	1	
3mcd	C2	2	1	0	2010	-	1	A-B	A-A	2106.5	I	1	
3mce	C2	2	1	1	2010	-	1	A-B	A-A	1949.6	I	1	
3mcf	M	1	1	0	2010	-	-						
3mch	C3	3	1	1	2011	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1512.7,1512.7,1512.7"	"H,H,H"	"1,1,1"	
3mci	C3	3	1	0	2011	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1485.9,1485.9,1485.9"	"H,H,H"	"1,1,1"	
3mcj	C3	3	1	0	2011	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"1491.9,1491.9,1491.9"	"H,H,H"	"1,1,1"	
3mcm	M	1	1	0	2010	-	-						
3mcn	M	1	1	0	2010	-	-						
3mco	M	1	1	1	2010	-	-						
3mcp	C2	2	1	1	2010	-	1	A-B	A-A	4883.2	I	1	
3mcq	C2	2	1	1	2010	-	1	A-B	A-A	6056.5	I	1	
3mcr	M	1	1	1	2010	-	-						
3mcs	M	1	1	1	2010	-	-						
3mct	C2	2	1	0	1999	E	1	A-B	A-A	1424	I	1	
3mcu	D3a	6	1	0	2010	-	9	"A-B,A-C,A-E,A-F,B-C,B-D,B-E,C-D,C-F,D-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1999.9,1184.1,468.9,1184.1,468.9,1184.1,1184.1,1999.9,1184.1,1184.1,468.9,1999.9"	"I,H,I,H,I,H,H,I,H,H,I,I"	"1,1,0,1,0,1,1,1,1,1,0,1"	
3mcv	D2	4	1	0	2010	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"2764.7,3666.8,1110.8,1110.8,3666.8,2764.7"	"I,I,I,I,I,I"	"1,1,0,0,1,1"	
3mcw	C2	2	1	1	2010	-	1	A-B	A-A	2767.5	I	1	
3mcx	M	1	1	1	2010	-	-						
3mcy	M	1	1	0	2010	-	-						
3mcz	C2	2	1	1	2010	-	1	A-B	A-A	6539.8	I	1	
3md0	C2	2	1	0	2010	-	1	A-B	A-A	5212.5	I	1	
3md1	M	1	1	0	2010	-	-						
3md2	M	1	1	0	2010	-	-						
3md3	M	1	1	1	2010	-	-						
3md7	C2	2	1	0	2010	-	1	A-B	A-A	3011.3	I	1	
3md9	M	1	1	0	2010	-	-						
3mdb	M	1	1	1	2010	-	-						
3mdd	D2	4	1	0	1994	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"3438.3,304.0,4470.0,4470.0,304.0,3438.3"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
3mde	D2	4	1	0	1994	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"3454.0,300.9,4535.4,4535.4,300.9,3454.0"	"I,I,I,I,I,I"	"1,0,1,1,0,1"	
3mdf	M	1	1	1	2010	-	-						
3mdj	M	1	1	0	2011	-	-						
3mdk	C2	2	1	0	2010	-	1	A-B	A-A	2254.6	I	1	
3mdl	C2	2	1	0	2011	-	1	A-B	A-A	5177.6	I	1	
3mdm	M	1	1	1	2010	-	-						
3mdn	D2	4	1	1	2010	-	4	"A-B,A-C,A-D,B-C,B-D,C-D"	"A-A,A-A,A-A,A-A,A-A,A-A"	"342.5,1712.4,1195.1,1195.1,1712.4,342.5"	"I,I,I,I,I,I"	"0,1,1,1,1,0"	
3mdo	C2	2	1	0	2010	-	1	A-B	A-A	3919.6	I	1	
3mdp	C2	2	1	1	2010	-	1	A-B	A-A	1915.2	I	1	
3mdq	M	1	1	1	2010	-	-						
3mdr	M	1	1	0	2010	-	-						
3mds	D2	4	1	0	1994	C	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"1807.3,1377.2,1377.2,1807.3"	"I,I,I,I"	"1,1,1,1"	
3mdt	M	1	1	0	2010	-	-						
3mdu	M	1	1	1	2011	-	-						
3mdv	M	1	1	0	2010	-	-						
3mdw	M	1	1	0	2011	-	-						
3mdx	C3	3	1	1	2010	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3836.6,3836.6,3836.6"	"H,H,H"	"1,1,1"	
3mdy	M	2	2	0	2010	-	2	A-B	A-B	1810	T	1	
3mdz	M	1	1	0	2010	-	-						
3me0	M	2	2	1	2011	-	2	A-B	A-B	3771.7	T	1	
